Meaunit,Name
'',Inch
''2,Square inch
''3,Cubic inch
%,Percentage
%O,Per mille
0,Meter/Minute
1,
ACR,Acre
AU,Activity unit
BAG,Bag
BT,Bottle
C3S,Cubic centimeter/second
CAN,Canister
CAR,Carton
CCM,Cubic centimeter
CD3,Cubic decimeter
CL,Centiliter
CM,Centimeter
CM2,Square centimeter
CMS,Centimeter/second
CRT,Crate
CV,Case
D,Days
DAY,Days
DEG,Degree
DM,Decimeter
DR,Drum
DZ,Dozen
EA,each
EML,Enzyme Units/Milliliter
EU,Enzyme Units
FOZ,Fluid Ounce US
FT,Foot
FT2,Square foot
FT3,Cubic foot
G,Gram
G/L,Gram Active Ingredient/Liter
GAI,Gram Active Ingredient
GAL,US gallon
GAU,Gram Gold
GJ,Gigajoule
GLI,Gram/liter
GM,Gram/Mole
GM2,Gram/square meter
GM3,Gram/Cubic meter
GOH,Gigaohm
GPH,Gallons per hour (US)
GPM,Gallons per mile (US)
GRO,Gross
H,Hour
HA,Hectare
HL,Hectoliter
HR,Hours
JKG,Joule/Kilogram
JKK,Spec. Heat Capacity
JMO,Joule/Mole
KAI,Kilogram Active Ingredient
KD3,Kilogram/cubic decimeter
KG,Kilogram
KGM,Kilogram/Mole
KGS,Kilogram/second
KGV,Kilogram/cubic meter
KIK,kg Active Ingredient/kg
KJK,Kilojoule/kilogram
KJM,Kilojoule/Mole
KM,Kilometer
KM2,Square kilometer
KMH,Kilometer/hour
KML,Kilomol
KMN,Kelvin/Minute
KMS,Kelvin/Second
KPA,Kilopascal
KT,Kiloton
KVA,Kilovoltampere
L,Liter
LB,Pound
LHK,Liter per 100 km
LMI,Liter/Minute
LMS,Liter/Mole Second
LPH,Liter per hour
M,Meter
M-2,1/Square Meter
M/H,Meter/Hour
M/L,Mole per Liter
M/M,Mole per Cubic Meter
M/S,Meter/second
M2,Square meter
M2S,Square meter/second
M3,Cubic meter
M3D,Cubic meter/day
M3H,Cubic meter/Hour
M3S,Cubic meter/second
MEJ,Megajoule
MGO,Megohm
MGQ,Milligram/cubic meter
MHV,Megavolt
MI,Mile
MI2,Square mile
MIN,Minute
